source,target
f_caesalpinia_enneaphylla_2,257.2
f_caesalpinia_enneaphylla_2,131.1
f_caesalpinia_enneaphylla_2,133.1
f_caesalpinia_enneaphylla_2,135.1
f_caesalpinia_enneaphylla_2,145.1
f_caesalpinia_enneaphylla_2,408.2
f_caesalpinia_enneaphylla_2,283.2
f_caesalpinia_enneaphylla_2,157.1
f_caesalpinia_enneaphylla_2,159.1
f_caesalpinia_enneaphylla_2,161.1
f_caesalpinia_enneaphylla_2,295.2
f_caesalpinia_enneaphylla_2,171.1
f_caesalpinia_enneaphylla_2,173.1
f_caesalpinia_enneaphylla_2,301.2
f_caesalpinia_enneaphylla_2,175.1
f_caesalpinia_enneaphylla_2,183.1
f_caesalpinia_enneaphylla_2,185.1
f_caesalpinia_enneaphylla_2,313.2
f_caesalpinia_enneaphylla_2,187.1
f_caesalpinia_enneaphylla_2,197.1
f_caesalpinia_enneaphylla_2,199.1
f_caesalpinia_enneaphylla_2,201.1
f_caesalpinia_enneaphylla_2,331.2
f_caesalpinia_enneaphylla_2,215.1
f_caesalpinia_enneaphylla_2,93.1
f_caesalpinia_enneaphylla_2,95.0
f_caesalpinia_enneaphylla_2,105.1
f_caesalpinia_enneaphylla_2,107.1
f_caesalpinia_enneaphylla_2,109.1
f_caesalpinia_enneaphylla_2,111.0
f_caesalpinia_enneaphylla_2,373.2
f_caesalpinia_enneaphylla_2,119.1
f_caesalpinia_enneaphylla_2,123.1
taxon_caesalpinia_enneaphylla,512.4
taxon_caesalpinia_enneaphylla,259.1
taxon_caesalpinia_enneaphylla,392.2
taxon_caesalpinia_enneaphylla,394.3
taxon_caesalpinia_enneaphylla,396.2
taxon_caesalpinia_enneaphylla,654.3
taxon_caesalpinia_enneaphylla,270.2
taxon_caesalpinia_enneaphylla,272.3
taxon_caesalpinia_enneaphylla,526.4
taxon_caesalpinia_enneaphylla,275.1
taxon_caesalpinia_enneaphylla,277.2
taxon_caesalpinia_enneaphylla,406.2
taxon_caesalpinia_enneaphylla,279.2
taxon_caesalpinia_enneaphylla,408.2
taxon_caesalpinia_enneaphylla,281.1
taxon_caesalpinia_enneaphylla,410.3
taxon_caesalpinia_enneaphylla,283.1
taxon_caesalpinia_enneaphylla,408.4
taxon_caesalpinia_enneaphylla,413.4
taxon_caesalpinia_enneaphylla,416.3
taxon_caesalpinia_enneaphylla,295.2
taxon_caesalpinia_enneaphylla,424.2
taxon_caesalpinia_enneaphylla,432.2
taxon_caesalpinia_enneaphylla,181.1
taxon_caesalpinia_enneaphylla,566.4
taxon_caesalpinia_enneaphylla,438.2
taxon_caesalpinia_enneaphylla,311.1
taxon_caesalpinia_enneaphylla,313.1
taxon_caesalpinia_enneaphylla,570.5
taxon_caesalpinia_enneaphylla,438.4
taxon_caesalpinia_enneaphylla,316.2
taxon_caesalpinia_enneaphylla,452.4
taxon_caesalpinia_enneaphylla,197.1
taxon_caesalpinia_enneaphylla,454.3
taxon_caesalpinia_enneaphylla,583.5
taxon_caesalpinia_enneaphylla,584.5
taxon_caesalpinia_enneaphylla,331.2
taxon_caesalpinia_enneaphylla,332.2
taxon_caesalpinia_enneaphylla,460.3
taxon_caesalpinia_enneaphylla,459.2
taxon_caesalpinia_enneaphylla,203.2
taxon_caesalpinia_enneaphylla,336.3
taxon_caesalpinia_enneaphylla,593.3
taxon_caesalpinia_enneaphylla,468.4
taxon_caesalpinia_enneaphylla,217.1
taxon_caesalpinia_enneaphylla,219.2
taxon_caesalpinia_enneaphylla,221.2
taxon_caesalpinia_enneaphylla,223.2
taxon_caesalpinia_enneaphylla,609.3
taxon_caesalpinia_enneaphylla,611.5
taxon_caesalpinia_enneaphylla,614.5
taxon_caesalpinia_enneaphylla,233.2
taxon_caesalpinia_enneaphylla,234.1
taxon_caesalpinia_enneaphylla,363.2
taxon_caesalpinia_enneaphylla,621.3
taxon_caesalpinia_enneaphylla,493.3
taxon_caesalpinia_enneaphylla,496.4
taxon_caesalpinia_enneaphylla,241.2
taxon_caesalpinia_enneaphylla,380.3
taxon_caesalpinia_enneaphylla,377.2
taxon_caesalpinia_enneaphylla,507.2
taxon_caesalpinia_enneaphylla,380.2
taxon_caesalpinia_enneaphylla,637.3
taxon_caesalpinia_enneaphylla,254.2
f_erythroxylum_coca_1,132.1
f_erythroxylum_coca_1,133.1
f_erythroxylum_coca_1,135.1
f_erythroxylum_coca_1,272.1
f_erythroxylum_coca_1,150.1
f_erythroxylum_coca_1,151.1
f_erythroxylum_coca_1,154.1
f_erythroxylum_coca_1,304.2
f_erythroxylum_coca_1,305.2
f_erythroxylum_coca_1,51.0
f_erythroxylum_coca_1,182.1
f_erythroxylum_coca_1,183.1
f_erythroxylum_coca_1,57.1
f_erythroxylum_coca_1,58.9
f_erythroxylum_coca_1,58.1
f_erythroxylum_coca_1,62.5
f_erythroxylum_coca_1,65.0
f_erythroxylum_coca_1,194.1
f_erythroxylum_coca_1,68.0
f_erythroxylum_coca_1,70.1
f_erythroxylum_coca_1,74.2
f_erythroxylum_coca_1,77.0
f_erythroxylum_coca_1,79.1
f_erythroxylum_coca_1,81.1
f_erythroxylum_coca_1,82.1
f_erythroxylum_coca_1,83.1
f_erythroxylum_coca_1,91.8
f_erythroxylum_coca_1,91.1
f_erythroxylum_coca_1,93.1
f_erythroxylum_coca_1,94.1
f_erythroxylum_coca_1,93.0
f_erythroxylum_coca_1,94.4
f_erythroxylum_coca_1,95.0
f_erythroxylum_coca_1,96.1
f_erythroxylum_coca_1,97.1
f_erythroxylum_coca_1,105.0
f_erythroxylum_coca_1,105.1
f_erythroxylum_coca_1,107.0
f_erythroxylum_coca_1,108.1
f_erythroxylum_coca_1,114.1
f_erythroxylum_coca_1,118.0
f_erythroxylum_coca_1,119.0
f_erythroxylum_coca_1,122.1
f_erythroxylum_coca_1,125.1
f_erythroxylum_coca_2,131.0
f_erythroxylum_coca_2,132.1
f_erythroxylum_coca_2,150.1
f_erythroxylum_coca_2,151.1
f_erythroxylum_coca_2,164.7
f_erythroxylum_coca_2,168.1
f_erythroxylum_coca_2,50.0
f_erythroxylum_coca_2,51.3
f_erythroxylum_coca_2,51.0
f_erythroxylum_coca_2,182.1
f_erythroxylum_coca_2,183.1
f_erythroxylum_coca_2,200.1
f_erythroxylum_coca_2,73.8
f_erythroxylum_coca_2,201.1
f_erythroxylum_coca_2,330.2
f_erythroxylum_coca_2,331.2
f_erythroxylum_coca_2,82.1
f_erythroxylum_coca_2,91.1
f_erythroxylum_coca_2,93.0
f_erythroxylum_coca_2,94.1
f_erythroxylum_coca_2,95.0
f_erythroxylum_coca_2,96.1
f_erythroxylum_coca_2,103.1
f_erythroxylum_coca_2,105.0
f_erythroxylum_coca_2,108.1
f_erythroxylum_coca_2,118.0
f_erythroxylum_coca_2,119.0
f_erythroxylum_coca_2,122.1
f_erythroxylum_coca_3,131.0
f_erythroxylum_coca_3,132.1
f_erythroxylum_coca_3,150.1
f_erythroxylum_coca_3,153.0
f_erythroxylum_coca_3,168.1
f_erythroxylum_coca_3,168.8
f_erythroxylum_coca_3,182.1
f_erythroxylum_coca_3,183.1
f_erythroxylum_coca_3,62.6
f_erythroxylum_coca_3,64.0
f_erythroxylum_coca_3,64.6
f_erythroxylum_coca_3,66.5
f_erythroxylum_coca_3,67.4
f_erythroxylum_coca_3,67.9
f_erythroxylum_coca_3,68.5
f_erythroxylum_coca_3,200.1
f_erythroxylum_coca_3,330.2
f_erythroxylum_coca_3,82.1
f_erythroxylum_coca_3,84.1
f_erythroxylum_coca_3,343.2
f_erythroxylum_coca_3,91.1
f_erythroxylum_coca_3,93.1
f_erythroxylum_coca_3,96.1
f_erythroxylum_coca_3,103.1
f_erythroxylum_coca_3,108.1
f_erythroxylum_coca_3,119.0
f_erythroxylum_coca_3,122.1
f_erythroxylum_coca_3,125.1
f_erythroxylum_coca_4,394.2
f_erythroxylum_coca_4,139.1
f_erythroxylum_coca_4,395.2
f_erythroxylum_coca_4,150.1
f_erythroxylum_coca_4,151.1
f_erythroxylum_coca_4,152.0
f_erythroxylum_coca_4,167.1
f_erythroxylum_coca_4,182.1
f_erythroxylum_coca_4,183.1
f_erythroxylum_coca_4,185.1
f_erythroxylum_coca_4,195.1
f_erythroxylum_coca_4,196.1
f_erythroxylum_coca_4,79.1
f_erythroxylum_coca_4,81.1
f_erythroxylum_coca_4,82.1
f_erythroxylum_coca_4,83.1
f_erythroxylum_coca_4,91.1
f_erythroxylum_coca_4,93.1
f_erythroxylum_coca_4,93.0
f_erythroxylum_coca_4,94.1
f_erythroxylum_coca_4,108.1
f_erythroxylum_coca_4,109.1
f_erythroxylum_coca_4,119.0
f_erythroxylum_coca_4,122.1
f_erythroxylum_coca_4,124.1
f_erythroxylum_coca_5,131.0
f_erythroxylum_coca_5,132.1
f_erythroxylum_coca_5,150.1
f_erythroxylum_coca_5,153.0
f_erythroxylum_coca_5,168.1
f_erythroxylum_coca_5,168.8
f_erythroxylum_coca_5,182.1
f_erythroxylum_coca_5,183.1
f_erythroxylum_coca_5,62.6
f_erythroxylum_coca_5,64.0
f_erythroxylum_coca_5,64.6
f_erythroxylum_coca_5,66.5
f_erythroxylum_coca_5,67.4
f_erythroxylum_coca_5,67.9
f_erythroxylum_coca_5,68.5
f_erythroxylum_coca_5,200.1
f_erythroxylum_coca_5,330.2
f_erythroxylum_coca_5,82.1
f_erythroxylum_coca_5,84.1
f_erythroxylum_coca_5,343.2
f_erythroxylum_coca_5,91.1
f_erythroxylum_coca_5,93.1
f_erythroxylum_coca_5,96.1
f_erythroxylum_coca_5,103.1
f_erythroxylum_coca_5,108.1
f_erythroxylum_coca_5,119.0
f_erythroxylum_coca_5,122.1
f_erythroxylum_coca_5,125.1
f_erythroxylum_coca_7,518.2
f_erythroxylum_coca_7,519.2
f_erythroxylum_coca_7,520.2
f_erythroxylum_coca_7,533.3
f_erythroxylum_coca_7,534.3
f_erythroxylum_coca_7,431.2
f_erythroxylum_coca_7,433.2
f_erythroxylum_coca_7,434.2
f_erythroxylum_coca_7,561.2
f_erythroxylum_coca_7,564.2
f_erythroxylum_coca_7,565.3
f_erythroxylum_coca_7,445.2
f_erythroxylum_coca_7,446.2
f_erythroxylum_coca_7,447.2
f_erythroxylum_coca_7,575.3
f_erythroxylum_coca_7,577.2
f_erythroxylum_coca_7,578.2
f_erythroxylum_coca_7,69.1
f_erythroxylum_coca_7,459.2
f_erythroxylum_coca_7,460.2
f_erythroxylum_coca_7,461.2
f_erythroxylum_coca_7,462.2
f_erythroxylum_coca_7,592.3
f_erythroxylum_coca_7,593.3
f_erythroxylum_coca_7,594.3
f_erythroxylum_coca_7,473.2
f_erythroxylum_coca_7,475.2
f_erythroxylum_coca_7,476.3
f_erythroxylum_coca_7,487.2
f_erythroxylum_coca_7,871.6
f_erythroxylum_coca_7,872.6
f_erythroxylum_coca_7,491.2
f_erythroxylum_coca_7,492.3
f_erythroxylum_coca_7,505.2
f_erythroxylum_coca_8,131.0
f_erythroxylum_coca_8,150.1
f_erythroxylum_coca_8,151.1
f_erythroxylum_coca_8,154.1
f_erythroxylum_coca_8,168.1
f_erythroxylum_coca_8,182.1
f_erythroxylum_coca_8,183.1
f_erythroxylum_coca_8,200.1
f_erythroxylum_coca_8,330.2
f_erythroxylum_coca_8,330.7
f_erythroxylum_coca_8,331.2
f_erythroxylum_coca_8,82.1
f_erythroxylum_coca_8,83.1
f_erythroxylum_coca_8,91.1
f_erythroxylum_coca_8,93.1
f_erythroxylum_coca_8,478.2
f_erythroxylum_coca_8,479.2
f_erythroxylum_coca_8,96.1
f_erythroxylum_coca_8,103.1
f_erythroxylum_coca_8,108.1
f_erythroxylum_coca_8,119.0
f_erythroxylum_coca_8,122.1
f_erythroxylum_coca_9,258.1
f_erythroxylum_coca_9,104.1
f_erythroxylum_coca_9,496.3
f_erythroxylum_coca_9,497.3
f_erythroxylum_coca_9,86.1
f_erythroxylum_coca_9,184.1
f_erythroxylum_coca_9,313.3
f_erythroxylum_coca_9,60.1
f_erythroxylum_coca_9,125.0
f_erythroxylum_coca_9,478.3
f_erythroxylum_coca_10,129.1
f_erythroxylum_coca_10,147.1
f_erythroxylum_coca_10,150.1
f_erythroxylum_coca_10,151.1
f_erythroxylum_coca_10,154.1
f_erythroxylum_coca_10,168.1
f_erythroxylum_coca_10,182.1
f_erythroxylum_coca_10,183.1
f_erythroxylum_coca_10,57.0
f_erythroxylum_coca_10,65.0
f_erythroxylum_coca_10,67.1
f_erythroxylum_coca_10,69.0
f_erythroxylum_coca_10,71.0
f_erythroxylum_coca_10,200.1
f_erythroxylum_coca_10,79.1
f_erythroxylum_coca_10,81.1
f_erythroxylum_coca_10,82.1
f_erythroxylum_coca_10,83.1
f_erythroxylum_coca_10,119.1
f_erythroxylum_coca_10,89.1
f_erythroxylum_coca_10,91.1
f_erythroxylum_coca_10,93.1
f_erythroxylum_coca_10,93.0
f_erythroxylum_coca_10,95.1
f_erythroxylum_coca_10,96.1
f_erythroxylum_coca_10,97.0
f_erythroxylum_coca_10,94.1
f_erythroxylum_coca_10,95.0
f_erythroxylum_coca_10,105.1
f_erythroxylum_coca_10,107.0
f_erythroxylum_coca_10,108.1
f_erythroxylum_coca_10,109.1
f_erythroxylum_coca_10,113.1
f_erythroxylum_coca_10,119.0
f_erythroxylum_coca_10,122.1
f_erythroxylum_coca_10,123.0
f_erythroxylum_coca_10,382.2
f_erythroxylum_coca_10,383.2
f_erythroxylum_coca_11,129.1
f_erythroxylum_coca_11,130.1
f_erythroxylum_coca_11,259.2
f_erythroxylum_coca_11,101.1
f_erythroxylum_coca_11,71.1
f_erythroxylum_coca_11,91.5
f_erythroxylum_coca_11,111.0
f_erythroxylum_coca_11,113.1
f_erythroxylum_coca_11,241.2
f_erythroxylum_coca_11,83.0
f_erythroxylum_coca_11,147.1
f_erythroxylum_coca_11,371.3
f_erythroxylum_coca_11,55.1
f_erythroxylum_coca_11,57.1
f_erythroxylum_coca_11,59.0
f_erythroxylum_coca_12,290.1
f_erythroxylum_coca_12,168.1
f_erythroxylum_coca_12,105.0
f_erythroxylum_coca_12,272.1
f_erythroxylum_coca_12,82.1
f_erythroxylum_coca_12,150.1
f_erythroxylum_coca_12,119.0
f_erythroxylum_coca_12,122.1
f_erythroxylum_coca_12,124.1
f_erythroxylum_coca_13,137.1
